cancelled_id,group_no
567365,1
406372,2
408560,3
377393,4
673354,5
627883,6
507170,7
603745,8
560980,9
124063,1
429867,2
685292,3
372752,4
644246,5
361068,6
283326,7
513178,8
136194,9
395613,1
253995,2
360733,3
373664,4
193710,5
529517,6
280840,7
587727,8
10346,9
451072,1
496761,2
501913,3
23575,4
42911,5
366829,6
15654,7
520714,8
366076,9
641074,1
673428,2
635912,3
643806,4
329135,5
583024,6
567693,7
337955,8
368210,9
163285,1
7606,2
206076,3
528341,4
281922,5
549952,6
580966,7
423918,8
665333,9
371007,1
510335,2
6418,3
683603,4
217454,5
124925,6
444598,7
407619,8
110510,9
274089,1
373064,2
529676,3
146558,4
547549,5
375718,6
392962,7
360515,8
663546,9
337950,1
460397,2
68720,3
77586,4
365489,5
374233,6
399140,7
670874,8
456725,9
382952,1
468431,2
407340,3
132925,4
623953,5
685412,6
680608,7
527788,8
417589,9
413917,1
242037,2
525211,3
573661,4
556667,5
639289,6
601221,7
155347,8
253878,9
298238,1
41039,2
356017,3
134364,4
496773,5
564311,6
196314,7
615929,8
40128,9
262331,1
661796,2
234085,3
115104,4
110371,5
479741,6
18108,7
265013,8
129911,9
597227,1
657778,2
484379,3
629349,4
669045,5
514877,6
22635,7
354334,8
298673,9
5330,1
453831,2
676279,3
388354,4
130466,5
630194,6
125127,7
675393,8
586777,9
450186,1
383138,2
630541,3
588944,4
376575,5
669230,6
251852,7
243360,8
682002,9
179984,1
495696,2
616036,3
130229,4
528465,5
530570,6
245844,7
603075,8
33490,9
57694,1
488203,2
440673,3
2608,4
8492,5
16109,6
115070,7
334397,8
480391,9
93185,1
414135,2
657190,3
332706,4
561360,5
380295,6
494243,7
189824,8
191398,9
521360,1
480300,2
485043,3
148240,4
507267,5
481898,6
629011,7
528298,8
1410,9
149252,1
72676,2
167123,3
462995,4
567407,5
92165,6
230888,7
446578,8
496897,9
582236,1
44243,2
247801,3
485753,4
507182,5
640458,6
499282,7
95947,8
107049,9
421769,1
478764,2
397242,3
511525,4
348624,5
558655,6
382665,7
613167,8
329125,9
133,1
501067,2
461647,3
594078,4
631764,5
289270,6
591662,7
507485,8
682880,9
495012,1
302942,2
226377,3
110169,4
628855,5
437121,6
157248,7
676637,8
521123,9
678813,1
35251,2
358732,3
671681,4
552391,5
616879,6
221959,7
50292,8
117662,9
453611,1
388136,2
485815,3
41164,4
635593,5
660129,6
521522,7
429367,8
180949,9
250763,1
4060,2
507966,3
680897,4
620281,5
362919,6
680155,7
673810,8
48563,9
577495,1
570316,2
50363,3
394231,4
350846,5
373862,6
370956,7
683295,8
541072,9
195,1
245373,2
516085,3
119707,4
657291,5
414688,6
656548,7
51499,8
655715,9
533287,1
672514,2
589997,3
377408,4
123750,5
393411,6
368949,7
350076,8
612952,9
564428,1
424553,2
78753,3
452542,4
174876,5
576180,6
423971,7
363604,8
577821,9
321161,1
344945,2
585756,3
611491,4
286581,5
47604,6
231583,7
53465,8
492631,9
629844,1
680933,2
283503,3
597638,4
671697,5
387281,6
823,7
528184,8
100571,9
120414,1
268186,2
449447,3
266216,4
295244,5
622933,6
629096,7
170266,8
520604,9
391880,1
376350,2
245913,3
667746,4
410696,5
323930,6
120519,7
422308,8
207264,9
279104,1
490141,2
683483,3
628912,4
183182,5
470945,6
23759,7
360695,8
612554,9
44504,1
339048,2
386831,3
671716,4
677316,5
595689,6
494382,7
398181,8
626947,9
629719,1
568304,2
556216,3
636197,4
384085,5
57051,6
235258,7
373909,8
173213,9
538658,1
551328,2
607048,3
399189,4
542574,5
350539,6
491154,7
228151,8
382027,9
55528,1
242096,2
659951,3
623352,4
568139,5
10951,6
586260,7
325502,8
631126,9
579842,1
370681,2
635575,3
310046,4
658448,5
569600,6
57007,7
652042,8
96124,9
654179,1
615919,2
358312,3
254186,4
393122,5
578986,6
232588,7
384526,8
150829,9
205030,1
196279,2
642716,3
522590,4
434317,5
124898,6
490605,7
647894,8
482808,9
534241,1
660009,2
10729,3
8298,4
630972,5
367642,6
220224,7
251998,8
389709,9
